"etab","Libellé","UAI","Udice","CURIF","AUREF","IDEx","ISITE","étiquettes","nouveau.UAI"
"AIX-MARSEILLE","Aix-Marseille Université","0134009M",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"AMIENS","Picardie Jules-Verne","0801344B",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"ANGERS","d'Angers","0490970N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"ANTILLES-GUYANE","des Antilles","9710585J",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"ARTOIS","d'Artois","0623957P",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"AVIGNON","Avignon Université","0840685N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"BESANCON","Franche-Comté","0251215K",FALSE,FALSE,FALSE,FALSE,TRUE,"AUREF Isite",NA
"BORDEAUX","Bordeaux","0333298F",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"BORDEAUX III","Bordeaux-Montaigne","0331766R",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"BREST","Bretagne Occidentale","0290346U",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"BRETAGNE SUD","Bretagne-Sud","0561718N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"CAEN","Caen Normandie","0141408E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"CERGY PONTOISE","Cergy-Pontoise","0952259P",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite",NA
"CERGY PONTOISE","Cergy-Pontoise","0951793H",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite","0952259P"
"CHAMBERY","Savoie Mont Blanc","0730858L",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"CLERMONT-AUVERGNE","Clermont Auvergne","0632035V",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite",NA
"CORSE","Corse Pasquale Paoli","7200664J",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"CUFR ALBI","Institut national universitaire Jean-François Champollion","0811293R",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"CUFR MAYOTTE","Centre Universitaire de Mayotte","9760358K",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"CUFR NIMES","Nîmes","0301687W",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"DIJON","Bourgogne","0211237F",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite",NA
"EVRY VAL D'ESSONNE","d'Évry-Val d'Essonne","0911975C",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"GRENOBLE-ALPES","Grenoble Alpes","0383546Y",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"GRENOBLE-ALPES","Grenoble Alpes","0383493R",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0383546Y"
"GUYANE","Guyane","9730429D",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"IEP PARIS","Institut d'études politiques de Paris","0753431X",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"INALCO","Institut national des langues et civilisations orientales","0753488J",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"INP GRENOBLE","Institut d'études politiques de Grenoble ","0380134P",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"INP TOULOUSE","Institut d'études politiques de Toulouse","0310133B",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"INST.PHYSIQUE DU GLOBE DE PARIS","Institut de physique du globe","0753428U",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"LA REUNION","La Réunion","9740478B",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LA ROCHELLE","La Rochelle Université","0171463Y",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LE HAVRE","Le Havre Normandie","0762762P",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LE MANS","Le Mans Université","0720916E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LILLE","Université de Lille","0597065J",FALSE,TRUE,FALSE,FALSE,TRUE,"CURIF Isite",NA
"LIMOGES","Limoges","0870669E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LITTORAL","du Littoral Côte d'Opale","0595964M",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LORRAINE","Lorraine","0542493S",FALSE,TRUE,FALSE,FALSE,TRUE,"CURIF Isite",NA
"LYON I","Claude Bernard - Lyon 1","0691774D",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"LYON II","Lumière - Lyon 2","0691775E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"LYON III","Jean Moulin - Lyon 3","0692437Z",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"MARNE LA VALLEE","Paris-Est Marne-la-Vallée","0772894C",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite",NA
"MARNE LA VALLEE","Paris-Est Marne-la-Vallée","0772502B",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite","0772894C"
"MONTPELLIER","Montpellier","0342321N",FALSE,TRUE,FALSE,FALSE,TRUE,"CURIF Isite",NA
"MONTPELLIER III","Montpellier 3 - Paul-Valéry","0341089Z",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"MULHOUSE","Haute-Alsace","0681166Y",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"NANTES","Nantes","0440984F",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite",NA
"UCA","Université Côte d'Azur ","0062205P",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"NICE","Nice - Sophia-Antipolis","0060931E",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0062205P"
"NOUVELLE-CALEDONIE","la Nouvelle-Calédonie","9830445S",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"OBSERVATOIRE","Observatoire de Paris","0753496T",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"ORLEANS","d'Orléans","0450855K",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS DAUPHINE","Université Paris-Dauphine","0750736T",TRUE,FALSE,FALSE,TRUE,FALSE,"Udice Idex",NA
"PARIS I","Paris 1 - Panthéon Sorbonne","0751717J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"PARIS II","Panthéon-Assas","0751718K",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS III","Sorbonne Nouvelle - Paris 3","0751719L",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS V","Paris Descartes","0751721N",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0755976N"
"PARIS VII","Paris Diderot","0751723R",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0755976N"
"DE PARIS","Université de Paris","0755976N",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"PARIS VIII","Paris 8 - Vincennes - Saint-Denis","0931827F",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"PARIS X","Paris Nanterre","0921204J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"PARIS XI","Paris-Sud","0911101C",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0912408Y"
"PARIS SACLAY","Paris Saclay","0912408Y",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"PARIS XII","Paris-Est Créteil Val-de-Marne","0941111X",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS XIII","Sorbonne Paris Nord","0931238R",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PAU","Pau et des Pays de l'Adour","0640251A",FALSE,FALSE,TRUE,FALSE,TRUE,"AUREF Isite",NA
"PERPIGNAN","Perpignan - Via Domitia","0660437S",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"POITIERS","Poitiers","0860856N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"POLYNESIE FRANCAISE","la Polynésie Française","9840349G",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PRES GRENOBLE","Université Grenoble Alpes","0383412C",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PRES PARIS EST","Université Paris-Est","0772710C",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"REIMS","Reims Champagne-Ardenne","0511296G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"RENNES I","Rennes 1","0350936C",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"RENNES II","Rennes 2","0350937D",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"ROUEN","Rouen","0761904G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"SAINT-ETIENNE","Jean Monnet","0421095M",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"SORBONNE U","Sorbonne Université (Sorbonne U)","0755890V",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"STRASBOURG","Strasbourg","0673021V",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"TOULON","Toulon","0830766G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"TOULOUSE I","Toulouse - Jean Jaurès","0311383K",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"TOULOUSE II","Toulouse 1 - Capitole","0311382J",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"TOULOUSE III","Toulouse 3 - Paul Sabatier","0311384L",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"TOURS","Tours","0370800U",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"UT BELFORT-MONTBELIARD","Université de technologie de Belfort-Montbéliard","0900424X",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"UT COMPIEGNE","Université de technologie de Compiègne","0601223D",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"UT TROYES","Université de technologie de Troyes","0101060Y",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"VALENCIENNES","Valenciennes","0593279U",FALSE,FALSE,FALSE,FALSE,FALSE,"","0597132G"
"VALENCIENNES","polytechnique des hauts de France","0597132G",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"VERSAILLES - ST QUENTIN","Versailles Saint-Quentin-en-Yvelines","0781944P",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA


