"Rentrée","Code.CNU","Section.CNU","Enseignants"
"2015",5,"Sciences économiques",1776
"2015",6,"Sciences de gestion et du management",3826
"2015",7,"Sciences du langage",783
"2015",8,"Langues et littératures anciennes",317
"2015",9,"Langue et littérature française",2051
"2015",10,"Littératures comparées",211
"2015",11,"Etudes anglophones",4032
"2015",12,"Etudes germaniques et scandinaves",625
"2015",13,"Etudes slaves et baltes",149
"2015",14,"Etudes romanes",1450
"2015",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",462
"2015",16,"Psychologie et ergonomie",1337
"2015",17,"Philosophie",523
"2015",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1096
"2015",19,"Sociologie, démographie",885
"2015",20,"Ethnologie, préhistoire, anthropologie biologique",194
"2015",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",773
"2015",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1548
"2015",23,"Géographie physique, humaine, économique et régionale",866
"2015",24,"Aménagement de l'espace, urbanisme",256
"2015",25,"Mathématiques",2457
"2015",26,"Mathématiques appliquées et applications des mathématiques",1820
"2015",27,"Informatique",3604
"2015",28,"Milieux denses et matériaux",1375
"2015",29,"Constituants élémentaires",1171
"2015",30,"Milieux dilués et optique",632
"2015",31,"Chimie théorique, physique, analytique",1010
"2015",32,"Chimie organique, minérale, industrielle",1275
"2015",33,"Chimie des matériaux",928
"2015",34,"Astronomie, astrophysique",193
"2015",35,"Structure et évolution de la terre et des autres planètes",534
"2015",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",390
"2015",37,"Météorologie, océanographie physique et physique de l'environnement",185
"2015",42,"Morphologie et morphogenèse",382
"2015",43,"Biophysique et imagerie Médecine",334
"2015",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",579
"2015",45,"Microbiologie, maladies transmissibles et hygiène",414
"2015",46,"Santé publique, environnement et société",302
"2015",47,"Cancérologie, génétique, hématologie, immunologie",600
"2015",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",484
"2015",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",386
"2015",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",303
"2015",51,"Pathologie cardiorespiratoire et vasculaire",425
"2015",52,"Maladies des appareils digestif et urinaire",387
"2015",53,"Médecine interne, gériatrie et chirurgie générale",316
"2015",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",557
"2015",55,"Pathologie de la tête et du cou",201
"2015",56,"Développement, croissance et prévention",119
"2015",57,"Chirurgie orale - parondontologie - biologie orale",138
"2015",58,"Réhabilitation orale",243
"2015",60,"Mécanique, génie mécanique, génie civil",3832
"2015",61,"Génie informatique, automatique et traitement du signal",1769
"2015",62,"Energétique, génie des procédés",1135
"2015",63,"Génie électrique, électronique, photonique et systèmes",2168
"2015",64,"Biochimie et biologie moléculaire",1172
"2015",65,"Biologie cellulaire",1341
"2015",66,"Physiologie",753
"2015",67,"Biologie des populations et écologie",701
"2015",68,"Biologie des organismes",497
"2015",69,"Neurosciences",399
"2015",70,"Sciences de l'éducation et de la formation",743
"2015",71,"Sciences de l'information et de la communication",983
"2015",72,"Epistémologie, histoire des sciences et des techniques",83
"2015",73,"Cultures et langues régionales",74
"2015",74,"Sciences et techniques des activités physiques et sportives",2446
"2015",76,"Théologie catholique",30
"2015",77,"Théologie protestante",17
"2015",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",46
"2015",81,"Sciences du médicament et des autres produits de santé",125
"2015",82,"Sciences biologiques, fondamentales et cliniques",158
"2015",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",455
"2015",86,"Sciences du médicament et des autres produits de santé",577
"2015",87,"Sciences biologiques, fondamentales et cliniques",404
"2016",0,"Sans discipline",1073
"2016",1,"Droit privé et sciences criminelles",1843
"2016",2,"Droit public",1318
"2016",3,"Histoire du droit et des institutions",264
"2016",4,"Science politique",387
"2016",5,"Sciences économiques",1788
"2016",6,"Sciences de gestion et du management",3835
"2016",7,"Sciences du langage",805
"2016",8,"Langues et littératures anciennes",310
"2016",9,"Langue et littérature française",2024
"2016",10,"Littératures comparées",215
"2016",11,"Etudes anglophones",4148
"2016",12,"Etudes germaniques et scandinaves",612
"2016",13,"Etudes slaves et baltes",148
"2016",14,"Etudes romanes",1430
"2016",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",447
"2016",16,"Psychologie et ergonomie",1374
"2016",17,"Philosophie",509
"2016",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1100
"2016",19,"Sociologie, démographie",908
"2016",20,"Ethnologie, préhistoire, anthropologie biologique",207
"2016",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",760
"2016",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1484
"2016",23,"Géographie physique, humaine, économique et régionale",874
"2016",24,"Aménagement de l'espace, urbanisme",267
"2016",25,"Mathématiques",2406
"2016",26,"Mathématiques appliquées et applications des mathématiques",1833
"2016",27,"Informatique",3610
"2016",28,"Milieux denses et matériaux",1369
"2016",29,"Constituants élémentaires",1157
"2016",30,"Milieux dilués et optique",626
"2016",31,"Chimie théorique, physique, analytique",1015
"2016",32,"Chimie organique, minérale, industrielle",1275
"2016",33,"Chimie des matériaux",918
"2016",34,"Astronomie, astrophysique",189
"2016",35,"Structure et évolution de la terre et des autres planètes",527
"2016",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",393
"2016",37,"Météorologie, océanographie physique et physique de l'environnement",191
"2016",42,"Morphologie et morphogenèse",373
"2016",43,"Biophysique et imagerie Médecine",331
"2016",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",572
"2016",45,"Microbiologie, maladies transmissibles et hygiène",408
"2016",46,"Santé publique, environnement et société",298
"2016",47,"Cancérologie, génétique, hématologie, immunologie",601
"2016",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",480
"2016",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",404
"2016",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",307
"2016",51,"Pathologie cardiorespiratoire et vasculaire",423
"2016",52,"Maladies des appareils digestif et urinaire",396
"2016",53,"Médecine interne, gériatrie et chirurgie générale",340
"2016",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",569
"2016",55,"Pathologie de la tête et du cou",200
"2016",56,"Développement, croissance et prévention",120
"2016",57,"Chirurgie orale - parondontologie - biologie orale",138
"2016",58,"Réhabilitation orale",250
"2016",60,"Mécanique, génie mécanique, génie civil",3749
"2016",61,"Génie informatique, automatique et traitement du signal",1773
"2016",62,"Energétique, génie des procédés",1121
"2016",63,"Génie électrique, électronique, photonique et systèmes",2218
"2016",64,"Biochimie et biologie moléculaire",1171
"2016",65,"Biologie cellulaire",1343
"2016",66,"Physiologie",744
"2016",67,"Biologie des populations et écologie",710
"2016",68,"Biologie des organismes",496
"2016",69,"Neurosciences",400
"2016",70,"Sciences de l'éducation et de la formation",760
"2016",71,"Sciences de l'information et de la communication",980
"2016",72,"Epistémologie, histoire des sciences et des techniques",90
"2016",73,"Cultures et langues régionales",74
"2016",74,"Sciences et techniques des activités physiques et sportives",2387
"2016",76,"Théologie catholique",29
"2016",77,"Théologie protestante",17
"2016",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",46
"2016",81,"Sciences du médicament et des autres produits de santé",136
"2016",82,"Sciences biologiques, fondamentales et cliniques",154
"2016",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",445
"2016",86,"Sciences du médicament et des autres produits de santé",575
"2016",87,"Sciences biologiques, fondamentales et cliniques",403
"2017",0,"Sans discipline",1029
"2017",1,"Droit privé et sciences criminelles",1820
"2017",2,"Droit public",1297
"2017",3,"Histoire du droit et des institutions",257
"2017",4,"Science politique",392
"2017",5,"Sciences économiques",1735
"2017",6,"Sciences de gestion et du management",3815
"2017",7,"Sciences du langage",771
"2017",8,"Langues et littératures anciennes",292
"2017",9,"Langue et littérature française",1910
"2017",10,"Littératures comparées",209
"2017",11,"Etudes anglophones",4066
"2017",12,"Etudes germaniques et scandinaves",577
"2017",13,"Etudes slaves et baltes",164
"2017",14,"Etudes romanes",1411
"2017",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",450
"2017",16,"Psychologie et ergonomie",1369
"2017",17,"Philosophie",503
"2017",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1058
"2017",19,"Sociologie, démographie",895
"2017",20,"Ethnologie, préhistoire, anthropologie biologique",204
"2017",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",748
"2017",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1426
"2017",23,"Géographie physique, humaine, économique et régionale",852
"2017",24,"Aménagement de l'espace, urbanisme",263
"2017",25,"Mathématiques",2330
"2017",26,"Mathématiques appliquées et applications des mathématiques",1776
"2017",27,"Informatique",3545
"2017",28,"Milieux denses et matériaux",1348
"2017",29,"Constituants élémentaires",1099
"2017",30,"Milieux dilués et optique",624
"2017",31,"Chimie théorique, physique, analytique",1005
"2017",32,"Chimie organique, minérale, industrielle",1259
"2017",33,"Chimie des matériaux",905
"2017",34,"Astronomie, astrophysique",185
"2017",35,"Structure et évolution de la terre et des autres planètes",509
"2017",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",393
"2017",37,"Météorologie, océanographie physique et physique de l'environnement",191
"2017",42,"Morphologie et morphogenèse",359
"2017",43,"Biophysique et imagerie Médecine",325
"2017",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",544
"2017",45,"Microbiologie, maladies transmissibles et hygiène",409
"2017",46,"Santé publique, environnement et société",291
"2017",47,"Cancérologie, génétique, hématologie, immunologie",593
"2017",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",470
"2017",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",412
"2017",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",301
"2017",51,"Pathologie cardiorespiratoire et vasculaire",412
"2017",52,"Maladies des appareils digestif et urinaire",387
"2017",53,"Médecine interne, gériatrie et chirurgie générale",333
"2017",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",556
"2017",55,"Pathologie de la tête et du cou",197
"2017",56,"Développement, croissance et prévention",113
"2017",57,"Chirurgie orale - parondontologie - biologie orale",121
"2017",58,"Réhabilitation orale",233
"2017",60,"Mécanique, génie mécanique, génie civil",3627
"2017",61,"Génie informatique, automatique et traitement du signal",1758
"2017",62,"Energétique, génie des procédés",1099
"2017",63,"Génie électrique, électronique, photonique et systèmes",2163
"2017",64,"Biochimie et biologie moléculaire",1165
"2017",65,"Biologie cellulaire",1313
"2017",66,"Physiologie",741
"2017",67,"Biologie des populations et écologie",694
"2017",68,"Biologie des organismes",497
"2017",69,"Neurosciences",405
"2017",70,"Sciences de l'éducation et de la formation",714
"2017",71,"Sciences de l'information et de la communication",933
"2017",72,"Epistémologie, histoire des sciences et des techniques",88
"2017",73,"Cultures et langues régionales",77
"2017",74,"Sciences et techniques des activités physiques et sportives",2292
"2017",76,"Théologie catholique",31
"2017",77,"Théologie protestante",18
"2017",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",43
"2017",81,"Sciences du médicament et des autres produits de santé",131
"2017",82,"Sciences biologiques, fondamentales et cliniques",157
"2017",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",433
"2017",86,"Sciences du médicament et des autres produits de santé",569
"2017",87,"Sciences biologiques, fondamentales et cliniques",395
"2017",99,"Non spécifiée",466
"2018",0,"Sans discipline",1012
"2018",1,"Droit privé et sciences criminelles",1824
"2018",2,"Droit public",1296
"2018",3,"Histoire du droit et des institutions",259
"2018",4,"Science politique",392
"2018",5,"Sciences économiques",1716
"2018",6,"Sciences de gestion et du management",3961
"2018",7,"Sciences du langage",765
"2018",8,"Langues et littératures anciennes",285
"2018",9,"Langue et littérature française",1927
"2018",10,"Littératures comparées",212
"2018",11,"Etudes anglophones",4091
"2018",12,"Etudes germaniques et scandinaves",567
"2018",13,"Etudes slaves et baltes",141
"2018",14,"Etudes romanes",1403
"2018",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",479
"2018",16,"Psychologie et ergonomie",1373
"2018",17,"Philosophie",494
"2018",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1091
"2018",19,"Sociologie, démographie",882
"2018",20,"Ethnologie, préhistoire, anthropologie biologique",205
"2018",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",734
"2018",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1457
"2018",23,"Géographie physique, humaine, économique et régionale",855
"2018",24,"Aménagement de l'espace, urbanisme",261
"2018",25,"Mathématiques",2349
"2018",26,"Mathématiques appliquées et applications des mathématiques",1775
"2018",27,"Informatique",3350
"2018",28,"Milieux denses et matériaux",1895
"2018",29,"Constituants élémentaires",394
"2018",30,"Milieux dilués et optique",806
"2018",31,"Chimie théorique, physique, analytique",1007
"2018",32,"Chimie organique, minérale, industrielle",1238
"2018",33,"Chimie des matériaux",909
"2018",34,"Astronomie, astrophysique",187
"2018",35,"Structure et évolution de la terre et des autres planètes",503
"2018",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",390
"2018",37,"Météorologie, océanographie physique et physique de l'environnement",191
"2018",42,"Morphologie et morphogenèse",343
"2018",43,"Biophysique et imagerie Médecine",320
"2018",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",536
"2018",45,"Microbiologie, maladies transmissibles et hygiène",397
"2018",46,"Santé publique, environnement et société",281
"2018",47,"Cancérologie, génétique, hématologie, immunologie",589
"2018",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",475
"2018",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",418
"2018",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",310
"2018",51,"Pathologie cardiorespiratoire et vasculaire",428
"2018",52,"Maladies des appareils digestif et urinaire",383
"2018",53,"Médecine interne, gériatrie et chirurgie générale",332
"2018",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",565
"2018",55,"Pathologie de la tête et du cou",188
"2018",56,"Développement, croissance et prévention",117
"2018",57,"Chirurgie orale - parondontologie - biologie orale",130
"2018",58,"Réhabilitation orale",242
"2018",60,"Mécanique, génie mécanique, génie civil",3643
"2018",61,"Génie informatique, automatique et traitement du signal",1905
"2018",62,"Energétique, génie des procédés",1149
"2018",63,"Génie électrique, électronique, photonique et systèmes",2120
"2018",64,"Biochimie et biologie moléculaire",1167
"2018",65,"Biologie cellulaire",1341
"2018",66,"Physiologie",744
"2018",67,"Biologie des populations et écologie",694
"2018",68,"Biologie des organismes",495
"2018",69,"Neurosciences",395
"2018",70,"Sciences de l'éducation et de la formation",743
"2018",71,"Sciences de l'information et de la communication",949
"2018",72,"Epistémologie, histoire des sciences et des techniques",91
"2018",73,"Cultures et langues régionales",69
"2018",74,"Sciences et techniques des activités physiques et sportives",2417
"2018",76,"Théologie catholique",33
"2018",77,"Théologie protestante",18
"2018",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",43
"2018",81,"Sciences du médicament et des autres produits de santé",138
"2018",82,"Sciences biologiques, fondamentales et cliniques",164
"2018",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",434
"2018",86,"Sciences du médicament et des autres produits de santé",560
"2018",87,"Sciences biologiques, fondamentales et cliniques",393
"2018",99,"Non spécifiée",182
"2019",0,"Sans discipline",1029
"2019",1,"Droit privé et sciences criminelles",1816
"2019",2,"Droit public",1290
"2019",3,"Histoire du droit et des institutions",260
"2019",4,"Science politique",399
"2019",5,"Sciences économiques",1738
"2019",6,"Sciences de gestion et du management",3998
"2019",7,"Sciences du langage",761
"2019",8,"Langues et littératures anciennes",281
"2019",9,"Langue et littérature française",1905
"2019",10,"Littératures comparées",213
"2019",11,"Etudes anglophones",4114
"2019",12,"Etudes germaniques et scandinaves",559
"2019",13,"Etudes slaves et baltes",141
"2019",14,"Etudes romanes",1397
"2019",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",484
"2019",16,"Psychologie et ergonomie",1394
"2019",17,"Philosophie",499
"2019",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1076
"2019",19,"Sociologie, démographie",900
"2019",20,"Ethnologie, préhistoire, anthropologie biologique",214
"2019",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",741
"2019",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1394
"2019",23,"Géographie physique, humaine, économique et régionale",913
"2019",24,"Aménagement de l'espace, urbanisme",263
"2019",25,"Mathématiques",2337
"2019",26,"Mathématiques appliquées et applications des mathématiques",1792
"2019",27,"Informatique",3373
"2019",28,"Milieux denses et matériaux",1758
"2019",29,"Constituants élémentaires",393
"2019",30,"Milieux dilués et optique",804
"2019",31,"Chimie théorique, physique, analytique",1158
"2019",32,"Chimie organique, minérale, industrielle",1229
"2019",33,"Chimie des matériaux",894
"2019",34,"Astronomie, astrophysique",188
"2019",35,"Structure et évolution de la terre et des autres planètes",512
"2019",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",386
"2019",37,"Météorologie, océanographie physique et physique de l'environnement",192
"2019",42,"Morphologie et morphogenèse",337
"2019",43,"Biophysique et imagerie Médecine",317
"2019",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",523
"2019",45,"Microbiologie, maladies transmissibles et hygiène",399
"2019",46,"Santé publique, environnement et société",279
"2019",47,"Cancérologie, génétique, hématologie, immunologie",599
"2019",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",464
"2019",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",426
"2019",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",305
"2019",51,"Pathologie cardiorespiratoire et vasculaire",425
"2019",52,"Maladies des appareils digestif et urinaire",439
"2019",53,"Médecine interne, gériatrie et chirurgie générale",280
"2019",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",572
"2019",55,"Pathologie de la tête et du cou",186
"2019",56,"Développement, croissance et prévention",121
"2019",57,"Chirurgie orale - parondontologie - biologie orale",129
"2019",58,"Réhabilitation orale",243
"2019",60,"Mécanique, génie mécanique, génie civil",3640
"2019",61,"Génie informatique, automatique et traitement du signal",1896
"2019",62,"Energétique, génie des procédés",1144
"2019",63,"Génie électrique, électronique, photonique et systèmes",2088
"2019",64,"Biochimie et biologie moléculaire",1161
"2019",65,"Biologie cellulaire",1347
"2019",66,"Physiologie",729
"2019",67,"Biologie des populations et écologie",697
"2019",68,"Biologie des organismes",492
"2019",69,"Neurosciences",394
"2019",70,"Sciences de l'éducation et de la formation",758
"2019",71,"Sciences de l'information et de la communication",940
"2019",72,"Epistémologie, histoire des sciences et des techniques",93
"2019",73,"Cultures et langues régionales",70
"2019",74,"Sciences et techniques des activités physiques et sportives",2431
"2019",76,"Théologie catholique",34
"2019",77,"Théologie protestante",18
"2019",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",46
"2019",81,"Sciences du médicament et des autres produits de santé",133
"2019",82,"Sciences biologiques, fondamentales et cliniques",172
"2019",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",421
"2019",86,"Sciences du médicament et des autres produits de santé",555
"2019",87,"Sciences biologiques, fondamentales et cliniques",380
"2019",91,"Sciences de la rééducation et de réadaptation",1
"2019",92,"Sciences infirmières",1
"2019",99,"Non spécifiée",144
