"","etab","Libellé","UAI","Udice","CURIF","AUREF","Idex","Isite","étiquettes"
"1","AIX-MARSEILLE","Aix-Marseille Université","0134009M",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"2","AMIENS","Picardie Jules-Verne","0801344B",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"3","ANGERS","d'Angers","0490970N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"4","ANTILLES-GUYANE","des Antilles","9710585J",FALSE,FALSE,FALSE,FALSE,FALSE,""
"5","ARTOIS","d'Artois","0623957P",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"6","AVIGNON","Avignon Université","0840685N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"7","BESANCON","Franche-Comté","0251215K",FALSE,FALSE,FALSE,FALSE,TRUE,"AUREF Isite"
"8","BORDEAUX","Bordeaux","0333298F",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"9","BORDEAUX III","Bordeaux-Montaigne","0331766R",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"10","BREST","Bretagne Occidentale","0290346U",FALSE,FALSE,FALSE,FALSE,FALSE,""
"11","BRETAGNE SUD","Bretagne-Sud","0561718N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"12","CAEN","Caen Normandie","0141408E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"13","CERGY PONTOISE","Cergy-Pontoise","0951793H",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite"
"14","CHAMBERY","Savoie Mont Blanc","0730858L",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"15","CLERMONT-AUVERGNE","Clermont Auvergne","0632035V",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite"
"16","CORSE","Corse Pasquale Paoli","7200664J",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"17","CUFR ALBI","Institut national universitaire Jean-François Champollion","0811293R",FALSE,FALSE,FALSE,FALSE,FALSE,""
"18","CUFR MAYOTTE","Centre Universitaire de Mayotte","9760358K",FALSE,FALSE,FALSE,FALSE,FALSE,""
"19","CUFR NIMES","Nîmes","0301687W",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"20","DIJON","Bourgogne","0211237F",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite"
"21","EVRY VAL D'ESSONNE","d'Évry-Val d'Essonne","0911975C",FALSE,FALSE,FALSE,FALSE,FALSE,""
"22","GRENOBLE-ALPES","Grenoble Alpes","0383493R",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"23","GUYANE","Guyane","9730429D",FALSE,FALSE,FALSE,FALSE,FALSE,""
"24","IEP PARIS","Institut d'études politiques de Paris","0753431X",FALSE,FALSE,FALSE,FALSE,FALSE,""
"25","INALCO","Institut national des langues et civilisations orientales","0753488J",FALSE,FALSE,FALSE,FALSE,FALSE,""
"26","INP GRENOBLE","Institut d'études politiques de Grenoble ","0380134P",FALSE,FALSE,FALSE,FALSE,FALSE,""
"27","INP TOULOUSE","Institut d'études politiques de Toulouse","0310133B",FALSE,FALSE,FALSE,FALSE,FALSE,""
"28","INST.PHYSIQUE DU GLOBE DE PARIS","Institut de physique du globe","0753428U",FALSE,FALSE,FALSE,FALSE,FALSE,""
"29","LA REUNION","La Réunion","9740478B",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"30","LA ROCHELLE","La Rochelle Université","0171463Y",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"31","LE HAVRE","Le Havre Normandie","0762762P",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"32","LE MANS","Le Mans Université","0720916E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"33","LIMOGES","Limoges","0870669E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"34","LITTORAL","du Littoral Côte d'Opale","0595964M",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"35","LORRAINE","Lorraine","0542493S",FALSE,TRUE,FALSE,FALSE,TRUE,"CURIF Isite"
"36","LYON I","Claude Bernard - Lyon 1","0691774D",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"37","LYON II","Lumière - Lyon 2","0691775E",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"38","LYON III","Jean Moulin - Lyon 3","0692437Z",FALSE,FALSE,FALSE,FALSE,FALSE,""
"39","MARNE LA VALLEE","Paris-Est Marne-la-Vallée","0772502B",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite"
"40","MONTPELLIER","Montpellier","0342321N",FALSE,TRUE,FALSE,FALSE,TRUE,"CURIF Isite"
"41","MONTPELLIER III","Montpellier 3 - Paul-Valéry","0341089Z",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"42","MULHOUSE","Haute-Alsace","0681166Y",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"43","NANTES","Nantes","0440984F",FALSE,FALSE,FALSE,FALSE,TRUE,"Isite"
"44","NICE","Nice - Sophia-Antipolis","0060931E",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"45","NOUVELLE-CALEDONIE","la Nouvelle-Calédonie","9830445S",FALSE,FALSE,FALSE,FALSE,FALSE,""
"46","OBSERVATOIRE","Observatoire de Paris","0753496T",FALSE,FALSE,FALSE,FALSE,FALSE,""
"47","ORLEANS","d'Orléans","0450855K",FALSE,FALSE,FALSE,FALSE,FALSE,""
"48","PARIS DAUPHINE","Université Paris-Dauphine","0750736T",TRUE,FALSE,FALSE,TRUE,FALSE,"Udice Idex"
"49","PARIS I","Paris 1 - Panthéon Sorbonne","0751717J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"50","PARIS II","Panthéon-Assas","0751718K",FALSE,FALSE,FALSE,FALSE,FALSE,""
"51","PARIS III","Sorbonne Nouvelle - Paris 3","0751719L",FALSE,FALSE,FALSE,FALSE,FALSE,""
"52","PARIS V","Paris Descartes","0751721N",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"53","PARIS VII","Paris Diderot","0751723R",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"54","PARIS VIII","Paris 8 - Vincennes - Saint-Denis","0931827F",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"55","PARIS X","Paris Nanterre","0921204J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"56","PARIS XI","Paris-Sud","0911101C",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"57","PARIS XII","Paris-Est Créteil Val-de-Marne","0941111X",FALSE,FALSE,FALSE,FALSE,FALSE,""
"58","PARIS XIII","Sorbonne Paris Nord","0931238R",FALSE,FALSE,FALSE,FALSE,FALSE,""
"59","PAU","Pau et des Pays de l'Adour","0640251A",FALSE,FALSE,TRUE,FALSE,TRUE,"AUREF Isite"
"60","PERPIGNAN","Perpignan - Via Domitia","0660437S",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"61","POITIERS","Poitiers","0860856N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"62","POLYNESIE FRANCAISE","la Polynésie Française","9840349G",FALSE,FALSE,FALSE,FALSE,FALSE,""
"63","PRES GRENOBLE","Université Grenoble Alpes","0383412C",FALSE,FALSE,FALSE,FALSE,FALSE,""
"64","PRES PARIS EST","Université Paris-Est","0772710C",FALSE,FALSE,FALSE,FALSE,FALSE,""
"65","REIMS","Reims Champagne-Ardenne","0511296G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"66","RENNES I","Rennes 1","0350936C",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"67","RENNES II","Rennes 2","0350937D",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"68","ROUEN","Rouen","0761904G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"69","SAINT-ETIENNE","Jean Monnet","0421095M",FALSE,FALSE,FALSE,FALSE,FALSE,""
"70","STRASBOURG","Strasbourg","0673021V",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"71","TOULON","Toulon","0830766G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"72","TOULOUSE I","Toulouse - Jean Jaurès","0311383K",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"73","TOULOUSE II","Toulouse 1 - Capitole","0311382J",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"74","TOULOUSE III","Toulouse 3 - Paul Sabatier","0311384L",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"75","TOURS","Tours","0370800U",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"76","UT BELFORT-MONTBELIARD","Université de technologie de Belfort-Montbéliard","0900424X",FALSE,FALSE,FALSE,FALSE,FALSE,""
"77","UT COMPIEGNE","Université de technologie de Compiègne","0601223D",FALSE,FALSE,FALSE,FALSE,FALSE,""
"78","UT TROYES","Université de technologie de Troyes","0101060Y",FALSE,FALSE,FALSE,FALSE,FALSE,""
"79","VALENCIENNES","polytechnique des hauts de France","0593279U",FALSE,FALSE,FALSE,FALSE,FALSE,""
"80","VERSAILLES - ST QUENTIN","Versailles Saint-Quentin-en-Yvelines","0781944P",FALSE,FALSE,FALSE,FALSE,FALSE,""
